Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-16 00:00:00-04:00,168.5765121778473,170.2929143521152,166.60065952676607,167.07965087890625,36271400,0.0,0.0
2025-05-19 00:00:00-04:00,165.36823314911408,167.59855695920197,165.06885786199535,167.5187225341797,21374700,0.0,0.0
2025-05-20 00:00:00-04:00,167.4089723124178,169.32495306366755,163.9162957370762,164.97409057617188,33563300,0.0,0.0
2025-05-21 00:00:00-04:00,164.60483939502217,174.1647950905629,164.54496738120505,169.7041473388672,45567600,0.0,0.0
2025-05-22 00:00:00-04:00,172.98727611426764,177.75727288119202,171.52035082957954,171.62013244628906,45024100,0.0,0.0
2025-05-23 00:00:00-04:00,169.92369658602146,170.84676411617667,168.90582662036127,169.23513793945312,24963600,0.0,0.0
2025-05-27 00:00:00-04:00,170.9415515853457,173.92528515676113,170.8517435680547,173.61593627929688,24341300,0.0,0.0
2025-05-28 00:00:00-04:00,173.61594729418155,176.1107161118287,172.65297018501624,173.0172119140625,25999200,0.0,0.0
2025-05-29 00:00:00-04:00,174.63382348309548,175.0329804174553,171.42055991285764,172.5980987548828,21174700,0.0,0.0
2025-05-30 00:00:00-04:00,172.04923004578563,173.0770735186819,168.17234979116824,172.48831176757812,36258300,0.0,0.0
2025-06-02 00:00:00-04:00,168.65633401739595,170.70404207052295,168.29708672339368,170.01348876953125,24742900,0.0,0.0
2025-06-03 00:00:00-04:00,168.51166710695887,169.44470824759915,166.33122627831037,167.3590850830078,25386700,0.0,0.0
2025-06-04 00:00:00-04:00,167.92787503026992,169.22515784223899,167.44388927750356,169.03555297851562,18508700,0.0,0.0
2025-06-05 00:00:00-04:00,171.26087623375113,171.999333247985,168.9956372255751,169.4546661376953,25375400,0.0,0.0
2025-06-06 00:00:00-04:00,171.93945767537895,175.4620697761154,171.93945767537895,174.55397033691406,22258100,0.0,0.0
2025-06-09 00:00:00-04:00,175.71293650196031,177.75610840952234,175.5031325772629,177.47137451171875,18817600,0.21,0.0
2025-06-10 00:00:00-04:00,177.6012524442818,182.2820814822952,176.3174115528641,179.8492431640625,32908000,0.0,0.0
2025-06-11 00:00:00-04:00,181.06816418757248,181.587704115862,177.84105272420047,178.63034057617188,18994400,0.0,0.0
2025-06-12 00:00:00-04:00,177.32150502104858,177.97093371422645,175.95273331776258,176.8119659423828,17345900,0.0,0.0
2025-06-13 00:00:00-04:00,173.4249969901244,178.18374417661255,173.41501140826213,175.7229461669922,20873200,0.0,0.0
2025-06-16 00:00:00-04:00,175.74791106095938,178.08581772153445,175.66299550545116,177.78109741210938,18132500,0.0,0.0
2025-06-17 00:00:00-04:00,176.84194122313968,178.5554060908411,175.78289022905207,177.0717315673828,17656100,0.0,0.0
2025-06-18 00:00:00-04:00,177.12168687013792,177.66520741745524,172.68564937270733,173.8246307373047,32531800,0.0,0.0
2025-06-20 00:00:00-04:00,174.70885376714864,175.2084072749372,166.1215277486504,167.58021545410156,55402600,0.0,0.0
2025-06-23 00:00:00-04:00,167.17059840849774,168.32955099660168,163.18415580302408,165.86175537109375,36975600,0.0,0.0
2025-06-24 00:00:00-04:00,167.5352511496685,169.09885600930554,166.7609493398623,167.5902099609375,27310300,0.0,0.0
2025-06-25 00:00:00-04:00,168.49939276403427,173.2051935344053,168.41048297188135,171.3368682861328,23627400,0.0,0.0
2025-06-26 00:00:00-04:00,173.23016594590123,174.4940357220232,170.70742680723183,174.27423095703125,25909100,0.0,0.0
2025-06-27 00:00:00-04:00,174.47406045255778,178.68029238922279,172.55577684017305,178.11080932617188,74053100,0.0,0.0
2025-06-30 00:00:00-04:00,180.6235705829387,181.41785885338717,175.34328619730314,177.23159790039062,43964600,0.0,0.0
2025-07-01 00:00:00-04:00,176.64711220363492,177.06175016091657,174.50403858767385,176.7520294189453,25778500,0.0,0.0
2025-07-02 00:00:00-04:00,176.38734664225254,179.77431882306013,175.93275111969743,179.59947204589844,19325900,0.0,0.0
2025-07-03 00:00:00-04:00,179.65943481772604,180.60858345440707,178.03088546799643,180.38877868652344,13287400,0.0,0.0
2025-07-07 00:00:00-04:00,179.9741410589373,180.1789598314395,176.48226683459202,177.4014434814453,20991400,0.0,0.0
2025-07-08 00:00:00-04:00,178.62034827773374,178.63033385947716,173.76468764691197,175.0035858154297,24108600,0.0,0.0
2025-07-09 00:00:00-04:00,175.95273909172283,180.11901356387378,173.72473469070374,177.50135803222656,31288000,0.0,0.0
2025-07-10 00:00:00-04:00,176.512234511381,179.4296251657738,175.5830723051054,178.54042053222656,24693700,0.0,0.0
2025-07-11 00:00:00-04:00,177.75112886809936,182.44692868840252,177.38245509455163,181.14808654785156,23975700,0.0,0.0
2025-07-14 00:00:00-04:00,181.9074143693571,184.5650273381907,180.5496192082718,182.64674377441406,20990400,0.0,0.0
2025-07-15 00:00:00-04:00,183.77573911870363,185.24442758915293,182.22712026096616,182.93649291992188,23911600,0.0,0.0
2025-07-16 00:00:00-04:00,184.1554078901505,185.16950087616138,182.91650973311008,183.60589599609375,21152600,0.0,0.0
2025-07-17 00:00:00-04:00,182.95148859796868,185.02162933119868,181.33792526233427,184.53506469726562,21654400,0.0,0.0
2025-07-18 00:00:00-04:00,186.45334173485833,187.19268639627012,184.56503013215195,185.77395629882812,21033400,0.0,0.0
2025-07-21 00:00:00-04:00,186.9329227356617,191.08919620124823,186.88296433744753,190.9792938232422,24665000,0.0,0.0
2025-07-22 00:00:00-04:00,192.2481667751554,193.18732979274287,188.32666875796485,191.93844604492188,26212900,0.0,0.0
2025-07-23 00:00:00-04:00,192.1882210378446,193.18732802696937,190.010159874068,191.33897399902344,34068100,0.0,0.0
2025-07-24 00:00:00-04:00,197.9330847594232,198.79231737351353,191.77858209315576,193.0274658203125,45252100,0.0,0.0
2025-07-25 00:00:00-04:00,192.75771028339912,195.10061746773786,191.95843686256575,193.9066925048828,31101800,0.0,0.0
2025-07-28 00:00:00-04:00,194.23639006720387,194.6460275845246,191.68366382649796,193.2472686767578,25553500,0.0,0.0
2025-07-29 00:00:00-04:00,193.1273831421187,196.4843832196581,192.817662416167,196.25457763671875,31891600,0.0,0.0
2025-07-30 00:00:00-04:00,196.12470577159496,198.30275169861974,195.3853611085289,197.26368713378906,21150500,0.0,0.0
2025-07-31 00:00:00-04:00,196.4244402882278,196.65423062723093,191.90847242579005,192.68777465820312,27852000,0.0,0.0
2025-08-01 00:00:00-04:00,189.6105186355703,191.44687467641603,188.5314812837375,189.78036499023438,21236700,0.0,0.0
2025-08-04 00:00:00-04:00,191.00428383507187,195.9049024520249,190.74950667153828,195.5751953125,23386000,0.0,0.0
2025-08-05 00:00:00-04:00,195.37037403152394,198.5225553573162,194.5011558308944,195.1455841064453,19010200,0.0,0.0
2025-08-06 00:00:00-04:00,195.0756489615275,197.20375182865104,194.2933433951165,196.74415588378906,15383700,0.0,0.0
2025-08-07 00:00:00-04:00,197.53344472313984,198.19284373359994,195.04566289247066,197.10382080078125,14660600,0.0,0.0
2025-08-08 00:00:00-04:00,197.80320024624658,203.24833036524188,197.72326985656238,201.90953063964844,24379900,0.0,0.0
2025-08-11 00:00:00-04:00,201.37500595004394,201.97947666721265,199.6215835153614,201.449951171875,16690200,0.0,0.0
2025-08-12 00:00:00-04:00,201.91453322711988,204.9468266736469,201.2201465346662,203.97769165039062,19854000,0.0,0.0
2025-08-13 00:00:00-04:00,204.79694945685728,205.24654455972473,198.46261470892654,202.84869384765625,19573000,0.0,0.0
2025-08-14 00:00:00-04:00,202.37911588398708,205.2365625759638,202.14432512407217,203.63800048828125,17777100,0.0,0.0
2025-08-15 00:00:00-04:00,204.53718749330082,207.14485738883576,201.9045460206804,204.72702026367188,21111400,0.0,0.0
2025-08-18 00:00:00-04:00,204.88687667774633,205.95591322393057,203.22835542424343,204.10755920410156,13000200,0.0,0.0
2025-08-19 00:00:00-04:00,203.72291858829,204.10756930819693,200.75056906348905,202.30918884277344,13476600,0.0,0.0
2025-08-20 00:00:00-04:00,201.49989012472352,201.9894580373513,197.28367265876727,200.01123046875,13971700,0.0,0.0
2025-08-21 00:00:00-04:00,200.54075847297617,203.17840034597594,200.22103691495778,200.4408416748047,11768900,0.0,0.0
2025-08-22 00:00:00-04:00,203.7778705571345,209.0431534739571,201.94950291655513,206.535400390625,25723700,0.0,0.0
2025-08-25 00:00:00-04:00,206.8151460768586,210.90148999026277,205.7660806926536,208.9732208251953,22788800,0.0,0.0
2025-08-26 00:00:00-04:00,208.18392059569848,208.2738518119723,206.26563698618554,207.76429748535156,23051000,0.0,0.0
2025-08-27 00:00:00-04:00,206.2756410923181,209.3828645197921,206.20569628356685,208.02407836914062,15249000,0.0,0.0
2025-08-28 00:00:00-04:00,207.6543902459798,212.70986910562976,207.4146143286289,212.1803436279297,20915700,0.0,0.0
2025-08-29 00:00:00-04:00,211.08133343259135,215.14769086553312,210.78159829310974,213.3393096923828,24682200,0.0,0.0
2025-09-02 00:00:00-04:00,208.80338386353435,212.17936432543956,206.77519781054198,211.8007049560547,28900100,0.0,0.0
2025-09-03 00:00:00-04:00,226.27774633104264,231.59300282388122,224.91896021781164,230.8936309814453,72250300,0.0,0.0
2025-09-04 00:00:00-04:00,229.94947205835598,232.56214237085004,226.55749949973745,232.45223999023438,32196000,0.0,0.0
2025-09-05 00:00:00-04:00,232.4522383723282,235.9191408833356,232.17248963182874,234.95999145507812,26127700,0.0,0.0
2025-09-08 00:00:00-04:00,235.7899932861328,238.39999389648438,233.72999572753906,234.16000366210938,23128800,0.21,0.0
2025-09-09 00:00:00-04:00,234.19000244140625,240.58999633789062,233.3800048828125,239.94000244140625,22854800,0.0,0.0
2025-09-10 00:00:00-04:00,239.25,242.0800018310547,238.11000061035156,239.55999755859375,19990100,0.0,0.0
2025-09-11 00:00:00-04:00,240.13999938964844,242.57000732421875,236.5800018310547,240.77999877929688,21308600,0.0,0.0
2025-09-12 00:00:00-04:00,240.8000030517578,242.42300415039062,238.5,241.3800048828125,14536600,0.0,0.0
2025-09-15 00:00:00-04:00,245.13999938964844,252.75,244.97999572753906,251.75999450683594,29935200,0.0,0.0
2025-09-16 00:00:00-04:00,252.3300018310547,253.22999572753906,249.71499633789062,251.4199981689453,24493500,0.0,0.0
2025-09-17 00:00:00-04:00,251.4600067138672,251.9499969482422,246.5800018310547,249.85000610351562,20491300,0.0,0.0
2025-09-18 00:00:00-04:00,251.86000061035156,254.13999938964844,250.11000061035156,252.3300018310547,21166400,0.0,0.0
2025-09-19 00:00:00-04:00,253.39999389648438,256.70001220703125,252.0679931640625,255.24000549316406,41616800,0.0,0.0
2025-09-22 00:00:00-04:00,254.77999877929688,256.30999755859375,250.80999755859375,252.8800048828125,20079000,0.0,0.0
2025-09-23 00:00:00-04:00,253.65499877929688,254.77000427246094,251.08999633789062,252.33999633789062,17521100,0.0,0.0
2025-09-24 00:00:00-04:00,252.14999389648438,252.9600067138672,247.22000122070312,247.8300018310547,16958500,0.0,0.0
2025-09-25 00:00:00-04:00,244.83999633789062,247.31500244140625,241.64999389648438,246.57000732421875,17379800,0.0,0.0
2025-09-26 00:00:00-04:00,247.78500366210938,250.1199951171875,246.63999938964844,247.17999267578125,16594600,0.0,0.0
2025-09-29 00:00:00-04:00,248.27499389648438,251.6479949951172,243.1999969482422,244.36000061035156,23157200,0.0,0.0
2025-09-30 00:00:00-04:00,243.05999755859375,243.6750030517578,239.5709991455078,243.5500030517578,22541200,0.0,0.0
2025-10-01 00:00:00-04:00,241.17999267578125,247.14999389648438,239.1999969482422,245.5399932861328,23967700,0.0,0.0
2025-10-02 00:00:00-04:00,245.63999938964844,247.63499450683594,243.10499572753906,246.42999267578125,20657500,0.0,0.0
2025-10-03 00:00:00-04:00,245.22999572753906,247.1179962158203,242.47000122070312,246.4499969482422,19941400,0.0,0.0
2025-10-06 00:00:00-04:00,245.77999877929688,252.1999969482422,245.69000244140625,251.50999450683594,18309000,0.0,0.0
2025-10-07 00:00:00-04:00,248.92999267578125,251.5500030517578,246.80999755859375,247.1300048828125,13811200,0.0,0.0
2025-10-08 00:00:00-04:00,246.1999969482422,247.25999450683594,245.08999633789062,245.4600067138672,14136500,0.0,0.0
2025-10-09 00:00:00-04:00,245.05999755859375,245.55499267578125,239.67999267578125,242.2100067138672,19375700,0.0,0.0
2025-10-10 00:00:00-04:00,242.16000366210938,244.83999633789062,236.68499755859375,237.49000549316406,22449100,0.0,0.0
2025-10-13 00:00:00-04:00,241.02999877929688,244.99000549316406,240.75,244.63999938964844,12465000,0.0,0.0
2025-10-14 00:00:00-04:00,241.7550048828125,248.02499389648438,241.17799377441406,246.19000244140625,17705400,0.0,0.0
2025-10-15 00:00:00-04:00,248.0850067138672,252.75999450683594,246.7899932861328,251.7100067138672,16048100,0.0,0.0
2025-10-16 00:00:00-04:00,252.46499633789062,257.5799865722656,250.6699981689453,251.8800048828125,18946000,0.0,0.0
2025-10-17 00:00:00-04:00,251.35000610351562,254.8800048828125,248.58999633789062,253.7899932861328,17653800,0.0,0.0
2025-10-20 00:00:00-04:00,255.22999572753906,257.8800048828125,254.60000610351562,257.0199890136719,13726800,0.0,0.0
2025-10-21 00:00:00-04:00,255.25,255.3800048828125,244.6699981689453,251.33999633789062,27836400,0.0,0.0
2025-10-22 00:00:00-04:00,255.00999450683594,257.17999267578125,250.4510040283203,252.52999877929688,19650200,0.0,0.0
2025-10-23 00:00:00-04:00,253.6999969482422,255.86000061035156,252.76800537109375,253.72999572753906,13241300,0.0,0.0
2025-10-24 00:00:00-04:00,257.29998779296875,262.510009765625,256.1000061035156,260.510009765625,18375100,0.0,0.0
